accX,accY,accZ,gyroX,gyroY,gyroZ,label
6.34,9.15,1003.39,-280.0,140.0,0.0,waving
6.22,9.21,1003.45,-280.0,140.0,0.0,waving
6.1,9.27,1003.51,-280.0,140.0,0.0,waving
5.98,9.27,1003.63,-280.0,70.0,0.0,waving
5.86,9.33,1003.69,-280.0,70.0,0.0,waving
5.86,9.33,1003.69,-280.0,140.0,0.0,waving
5.73,9.33,1003.82,-280.0,70.0,0.0,waving
5.61,9.39,1003.88,-280.0,140.0,0.0,waving
5.55,9.39,1003.88,-280.0,70.0,0.0,waving
5.49,9.39,1003.94,-280.0,70.0,0.0,waving
5.43,9.45,1004.0,-280.0,140.0,0.0,waving
5.37,9.39,1004.06,-280.0,70.0,0.0,waving
5.25,9.39,1004.12,-280.0,140.0,0.0,waving
5.25,9.39,1004.12,-280.0,140.0,0.0,waving
5.18,9.45,1004.18,-280.0,70.0,0.0,waving
5.12,9.45,1004.24,-280.0,70.0,0.0,waving
5.12,9.45,1004.3,-280.0,140.0,0.0,waving
5.06,9.52,1004.3,-280.0,70.0,0.0,waving
5.06,9.52,1004.3,-280.0,140.0,0.0,waving
5.0,9.52,1004.36,-280.0,70.0,0.0,waving
4.94,9.52,1004.36,-280.0,140.0,0.0,waving
4.94,9.52,1004.43,-280.0,70.0,0.0,waving
4.94,9.52,1004.43,-280.0,70.0,0.0,waving
4.88,9.52,1004.43,-280.0,140.0,0.0,waving
4.82,9.52,1004.49,-280.0,140.0,0.0,waving
4.82,9.52,1004.49,-280.0,70.0,0.0,waving
4.76,9.52,1004.55,-280.0,70.0,0.0,waving
4.76,9.52,1004.55,-280.0,140.0,0.0,waving
4.7,9.52,1004.55,-280.0,140.0,0.0,waving
4.7,9.52,1004.55,-280.0,140.0,0.0,waving
4.7,9.58,1004.61,-280.0,140.0,0.0,waving
4.7,9.52,1004.61,-280.0,140.0,0.0,waving
4.64,9.58,1004.61,-280.0,70.0,0.0,waving
4.7,9.52,1004.61,-280.0,140.0,0.0,waving
4.64,9.52,1004.67,-280.0,140.0,0.0,waving
