@relation imu_motion_train_raw

@attribute gyro_x numeric
@attribute gyro_y numeric
@attribute gyro_z numeric
@attribute mag_x numeric
@attribute mag_y numeric
@attribute mag_z numeric
@attribute acc_x numeric
@attribute acc_y numeric
@attribute acc_z numeric
@attribute label {cross,rotate_wrist,up_down}

@data
-24.237000,56.700000,-33.005000,7.300000,-34.800000,-67.300000,-0.244000,0.242000,0.293000,cross
-16.940000,49.665000,-29.522000,6.100000,-36.100000,-66.100000,-0.203000,0.183000,0.169000,cross
-15.487000,44.170000,-28.315000,4.900000,-35.800000,-66.300000,-0.179000,0.160000,0.113000,cross
-16.170000,36.452000,-28.542000,5.500000,-35.400000,-66.100000,-0.186000,0.130000,0.052000,cross
-15.715000,27.720000,-29.907000,5.400000,-35.200000,-66.400000,-0.211000,0.089000,0.026000,cross
-13.195000,18.147000,-31.885000,4.600000,-34.600000,-67.200000,-0.249000,0.040000,0.030000,cross
-7.210000,8.785000,-32.847000,5.100000,-35.400000,-67.600000,-0.280000,-0.065000,0.099000,cross
1.365000,2.555000,-30.152000,3.300000,-35.700000,-67.300000,-0.300000,-0.191000,0.195000,cross
18.182000,-3.167000,-17.167000,4.600000,-35.100000,-66.700000,-0.322000,-0.385000,0.357000,cross
18.585000,-3.360000,-8.207000,4.300000,-35.400000,-67.500000,-0.360000,-0.450000,0.453000,cross
12.390000,-2.362000,-0.070000,4.000000,-35.100000,-67.200000,-0.420000,-0.459000,0.505000,cross
1.995000,-1.872000,3.535000,4.000000,-35.500000,-66.600000,-0.469000,-0.399000,0.536000,cross
-11.847000,-1.557000,2.257000,3.900000,-35.400000,-67.200000,-0.491000,-0.333000,0.570000,cross
-25.882000,-1.067000,-1.767000,4.200000,-36.300000,-67.000000,-0.495000,-0.294000,0.610000,cross
-37.747000,1.155000,-6.107000,4.500000,-35.100000,-67.500000,-0.483000,-0.283000,0.648000,cross
-48.440000,4.672000,-7.105000,4.300000,-34.900000,-67.200000,-0.410000,-0.358000,0.651000,cross
-49.000000,2.905000,-2.800000,3.700000,-35.100000,-67.000000,-0.384000,-0.412000,0.644000,cross
-48.650000,-1.242000,4.777000,3.900000,-33.600000,-66.600000,-0.373000,-0.445000,0.637000,cross
-48.002000,-7.315000,13.510000,4.500000,-34.500000,-67.300000,-0.379000,-0.447000,0.649000,cross
-47.670000,-13.562000,21.035000,3.900000,-33.700000,-67.000000,-0.407000,-0.432000,0.694000,cross
-47.915000,-17.762000,27.317000,4.500000,-33.700000,-67.500000,-0.444000,-0.432000,0.766000,cross
-48.895000,-19.512000,32.620000,3.700000,-33.600000,-67.900000,-0.486000,-0.410000,0.840000,cross
-57.960000,-15.470000,36.295000,3.400000,-33.400000,-67.000000,-0.544000,-0.350000,1.036000,cross
-64.242000,-8.557000,37.275000,4.600000,-32.800000,-66.100000,-0.561000,-0.345000,1.113000,cross
-69.580000,-0.805000,39.252000,4.800000,-32.500000,-67.200000,-0.574000,-0.330000,1.143000,cross
-74.340000,6.055000,41.545000,4.800000,-32.400000,-67.500000,-0.572000,-0.314000,1.143000,cross
-77.700000,10.937000,44.520000,3.700000,-31.000000,-66.300000,-0.554000,-0.303000,1.127000,cross
-80.535000,13.580000,48.422000,3.600000,-30.700000,-66.600000,-0.537000,-0.274000,1.103000,cross
-82.407000,14.210000,52.902000,3.300000,-31.000000,-66.400000,-0.527000,-0.236000,1.084000,cross
-82.110000,13.580000,62.947000,3.100000,-31.800000,-66.900000,-0.528000,-0.168000,1.063000,cross
-80.325000,13.860000,67.357000,2.800000,-30.100000,-65.700000,-0.540000,-0.120000,1.057000,cross
-77.980000,15.137000,70.892000,3.000000,-29.800000,-66.400000,-0.546000,-0.093000,1.065000,cross
-75.705000,17.850000,74.392000,2.400000,-29.800000,-65.500000,-0.549000,-0.068000,1.069000,cross
-74.585000,21.227000,77.070000,1.900000,-29.400000,-66.400000,-0.547000,-0.028000,1.048000,cross
-74.410000,24.045000,78.592000,2.200000,-29.500000,-65.200000,-0.539000,-0.006000,1.005000,cross
-73.465000,25.935000,80.080000,2.400000,-30.000000,-66.300000,-0.537000,-0.007000,0.954000,cross
-67.690000,27.125000,86.047000,0.900000,-29.100000,-65.700000,-0.529000,0.002000,0.890000,cross
-65.747000,26.792000,88.707000,0.900000,-29.700000,-65.400000,-0.532000,0.037000,0.867000,cross
-66.202000,25.970000,89.845000,1.200000,-28.600000,-65.100000,-0.538000,0.077000,0.862000,cross
-68.880000,25.305000,89.372000,1.200000,-28.900000,-65.200000,-0.543000,0.110000,0.862000,cross
-73.360000,24.745000,88.112000,0.400000,-27.900000,-65.500000,-0.538000,0.123000,0.854000,cross
-78.260000,23.870000,87.150000,-0.600000,-28.600000,-65.200000,-0.554000,0.156000,0.819000,cross
-81.497000,22.610000,82.407000,-0.100000,-28.200000,-64.800000,-0.578000,0.214000,0.800000,cross
-79.292000,22.295000,81.725000,0.100000,-28.200000,-65.400000,-0.592000,0.230000,0.842000,cross
-75.985000,24.080000,84.805000,-0.400000,-27.900000,-65.200000,-0.609000,0.220000,0.839000,cross
-72.940000,25.865000,88.777000,-0.900000,-27.600000,-66.000000,-0.637000,0.263000,0.815000,cross
-70.350000,27.230000,90.562000,0.300000,-28.200000,-65.700000,-0.651000,0.321000,0.788000,cross
-68.775000,28.000000,89.950000,-0.600000,-27.300000,-64.200000,-0.655000,0.388000,0.753000,cross
-68.320000,27.790000,86.765000,-0.900000,-26.700000,-65.500000,-0.665000,0.468000,0.718000,cross
-68.215000,27.387000,74.200000,-1.200000,-27.000000,-65.400000,-0.687000,0.538000,0.698000,cross
-62.930000,28.560000,68.425000,0.000000,-26.700000,-65.100000,-0.714000,0.560000,0.678000,cross
-57.820000,30.205000,64.697000,-0.400000,-27.600000,-64.600000,-0.708000,0.549000,0.654000,cross
-52.430000,31.587000,63.105000,-1.800000,-26.100000,-64.800000,-0.701000,0.529000,0.616000,cross
-48.160000,32.235000,63.227000,-1.500000,-26.700000,-64.200000,-0.703000,0.535000,0.567000,cross
