@relation 'MLC'

@attribute F1_MEAN_ACC_Y numeric
@attribute F2_PEAK_TO_PEAK_GYR_Y numeric
@attribute F3_MAXIMUM_ACC_X numeric
@attribute F4_MINIMUM_GYR_Z numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_ENERGY_ACC_Z numeric
@attribute F7_MEAN_ACC_Z numeric
@attribute F8_MAXIMUM_ACC_Y numeric
@attribute F9_PEAK_TO_PEAK_ACC_Y numeric
@attribute F10_MAXIMUM_GYR_Z numeric
@attribute F11_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F12_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F13_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F14_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F15_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F16_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F17_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F18_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F19_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F20_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F21_MAXIMUM_ACC_Z_FILTER_1 numeric
@attribute F22_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F23_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F24_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F25_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute class {waving, walking, wrist}

@data
-0.776367, 0.388916, -0.55127, -1.94727, -0.854492, 2.0625, 0.132935, -0.209106, 0.911133, 1.33887, 0.0894165, 0.43042, 0.148193, -0.0587769, -0.288086, 0.0894165, 0.43042, 0.148193, -0.288086, -0.288086, 0.0706177, 0.43042, 0.148193, -0.0587769, -0.288086, waving
0.160522, 0.434326, -0.543457, 1.12109, -0.887695, 1.56348, 0.122009, 0.856445, 1.51074, 2.36328, 0.09198, 0.294189, 0.175293, -0.083252, 0.0431824, 0.09198, 0.294189, 0.175293, 0.0431824, 0.0431824, 0.113953, 0.294189, 0.175293, -0.083252, 0.0431824, waving
1.01855, 0.771484, -0.0710449, -1.80469, -0.590332, 1.60352, 0.123901, 1.49316, 0.808594, 2.16211, 0.136963, 0.533691, 0.273926, -0.136963, -0.226563, 0.136963, 0.533691, 0.273926, -0.226563, -0.226563, 0.118958, 0.533691, 0.273926, -0.136963, -0.226563, waving
0.00189877, 0.352051, -0.603516, -2.10352, -0.895508, 3.19727, 0.181152, 0.666504, 1.59473, -1.50684, 0.09729, 0.206543, 0.222778, -0.125488, -0.30835, 0.09729, 0.206543, 0.222778, -0.30835, -0.30835, 0.156372, 0.206543, 0.222778, -0.125488, -0.30835, waving
-0.777344, 0.658203, -0.349121, -2.01563, -0.789551, 2.73242, -0.115112, -0.163086, 1.0791, 2.63867, 0.140625, 0.490723, 0.262207, -0.121582, -0.301025, 0.140625, 0.490723, 0.262207, -0.301025, -0.301025, 0.161865, 0.490723, 0.262207, -0.121582, -0.301025, waving
0.889648, 0.603516, -0.221191, -1.42871, -0.802734, 1.89453, 0.139404, 1.43262, 1.56348, 3.88281, 0.126831, 0.748047, 0.187744, -0.0608521, -0.141235, 0.126831, 0.748047, 0.187744, -0.141235, -0.141235, 0.13916, 0.748047, 0.187744, -0.0608521, -0.141235, waving
0.15271, 0.343262, -0.401367, -2.13477, -0.870605, 5.33203, 0.218262, 0.949707, 1.66797, -0.751953, 0.0704346, 0.359619, 0.193481, -0.123047, -0.386963, 0.0704346, 0.359619, 0.193481, -0.386963, -0.386963, 0.0950928, 0.359619, 0.193481, -0.123047, -0.386963, waving
-0.621094, 0.387695, -0.57959, -1.40918, -0.842285, 2.98633, 0.159668, 0.0180054, 1.07324, 2.31641, 0.105286, 0.432617, 0.173584, -0.0682373, -0.219727, 0.105286, 0.432617, 0.173584, -0.219727, -0.219727, 0.0783081, 0.432617, 0.173584, -0.0682373, -0.219727, waving
0.905273, 0.579102, -0.171143, -1.89941, -0.806641, 2.50586, 0.146729, 1.49219, 1.42285, 2.49023, 0.139404, 0.489502, 0.204102, -0.0646362, -0.168335, 0.139404, 0.489502, 0.204102, -0.168335, -0.168335, 0.148071, 0.489502, 0.204102, -0.0646362, -0.168335, waving
0.437012, 0.267334, -0.317139, -2.0293, -0.908691, 4.46875, 0.216553, 0.994629, 0.959473, -0.837402, 0.012207, 0.20459, 0.164307, -0.1521, -0.227417, 0.012207, 0.20459, 0.164307, -0.227417, -0.227417, 0.0979614, 0.20459, 0.164307, -0.1521, -0.227417, waving
